Kanton Basel-Stadt,,,,,,,
,,,,,,,
Kantonale Abstimmung vom 14. Juni 2015,,,,,,,Schlussresultat
,,,,,,,
«Abfallentsorgung mit Containern»,,,,,,,
,"Stimmrechtsausweise",Stimmzettel,,,,Stimmen,
Wahllokale,,eingelegte,leere,ungültige,Total gültige,Ja,Nein
Bahnhof SBB,791,791,65,1,725,247,478
Rathaus,850,850,78,2,770,262,508
Polizeiwache Clara,337,337,34,0,303,97,206
Basel brieflich Stimmende,43496,43467,2451,16,41000,12787,28213
Total Basel,45474,45445,2628,19,42798,13393,29405
Riehen Gemeindehaus,242,242,32,0,210,62,148
Riehen brieflich Stimmende,7684,7654,459,2,7193,2017,5176
Total Riehen,7926,7896,491,2,7403,2079,5324
Bettingen Gemeindehaus,4,4,1,0,3,1,2
Bettingen brieflich Stimmende,446,446,32,0,414,99,315
Total Bettingen,450,450,33,0,417,100,317
Total Kanton,53850,53791,3152,21,50618,15572,35046
