Kanton Basel-Stadt,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Kantonale Abstimmung vom 15. November 2015,,,,,,,Schlussresultat,,,,,,,
,,,,,,,,,,,,,,
(1) «Revision der Gerichtsorganisation»,,,,,,,,,,,,,,
,"Stimmrechtsausweise",Stimmzettel,,,,Stimmen,,,,,,,,
Wahllokale,,eingelegte,leere,ungültige,Total gültige,Ja,Nein,,,,,,,
Bahnhof SBB,434,434,48,0,386,334,52,,,,,,,
Rathaus,459,459,61,0,398,352,46,,,,,,,
Polizeiwache Clara,183,183,18,0,165,136,29,,,,,,,
Basel brieflich Stimmende,33685,33322,3026,14,30282,25631,4651,,,,,,,
Total Basel,34761,34398,3153,14,31231,26453,4778,,,,,,,
Riehen Gemeindehaus,110,110,13,0,97,88,9,,,,,,,
Riehen brieflich Stimmende,5580,5520,492,5,5023,4269,754,,,,,,,
Total Riehen,5690,5630,505,5,5120,4357,763,,,,,,,
Bettingen Gemeindehaus,3,3,0,0,3,3,0,,,,,,,
Bettingen brieflich Stimmende,337,336,30,0,306,250,56,,,,,,,
Total Bettingen,340,339,30,0,309,253,56,,,,,,,
Total Kanton,40791,40367,3688,19,36660,31063,5597,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
(2) «Strasseninitiative» und Gegenvorschlag,,,,,,Initiative,,,Gegenvorschlag,,,Stichfrage,,
,"Stimmrechtsausweise",Stimmzettel,,,,Stimmen,,,Stimmen,,,Stimmen,,
Wahllokale,,eingelegte,leere,ungültige,Total gültige,ohne Antwort,Ja,Nein,ohne Antwort,Ja,Nein,ohne Antwort,Initiative,Gegenvorschlag
Bahnhof SBB,434,434,3,0,431,9,162,260,25,219,187,61,119,251
Rathaus,459,459,8,0,451,16,161,274,24,238,189,70,107,274
Polizeiwache Clara,183,183,1,0,182,6,63,113,7,100,75,22,47,113
Basel brieflich Stimmende,33685,33322,401,3,32918,863,9173,22882,1883,14836,16199,6514,6718,19686
Total Basel,34761,34398,413,3,33982,894,9559,23529,1939,15393,16650,6667,6991,20324
Riehen Gemeindehaus,110,110,0,0,110,2,27,81,7,41,62,24,15,71
Riehen brieflich Stimmende,5580,5520,41,4,5475,118,913,4444,240,1928,3307,1317,709,3449
Total Riehen,5690,5630,41,4,5585,120,940,4525,247,1969,3369,1341,724,3520
Bettingen Gemeindehaus,3,3,0,0,3,1,0,2,0,2,1,0,0,3
Bettingen brieflich Stimmende,337,332,0,0,332,4,25,303,8,89,235,85,14,233
Total Bettingen,340,335,0,0,335,5,25,305,8,91,236,85,14,236
Total Kanton,40791,40363,454,7,39902,1019,10524,28359,2194,17453,20255,8093,7729,24080
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
(3) «Taxigesetz»,,,,,,,,,,,,,,
,"Stimmrechtsausweise",Stimmzettel,,,,Stimmen,,,,,,,,
Wahllokale,,eingelegte,leere,ungültige,Total gültige,Ja,Nein,,,,,,,
Bahnhof SBB,434,434,44,0,390,202,188,,,,,,,
Rathaus,459,459,62,0,397,172,225,,,,,,,
Polizeiwache Clara,183,183,13,0,170,75,95,,,,,,,
Basel brieflich Stimmende,33685,33322,2588,11,30723,18162,12561,,,,,,,
Total Basel,34761,34398,2707,11,31680,18611,13069,,,,,,,
Riehen Gemeindehaus,110,110,17,0,93,56,37,,,,,,,
Riehen brieflich Stimmende,5580,5520,419,4,5097,3376,1721,,,,,,,
Total Riehen,5690,5630,436,4,5190,3432,1758,,,,,,,
Bettingen Gemeindehaus,3,3,0,0,3,2,1,,,,,,,
Bettingen brieflich Stimmende,337,332,20,0,312,218,94,,,,,,,
Total Bettingen,340,335,20,0,315,220,95,,,,,,,
Total Kanton,40791,40363,3163,15,37185,22263,14922,,,,,,,
