Kanton Basel-Stadt,,,,,,,
,,,,,,,
Eidgenössische Volksabstimmung vom 27. November 2016,,,,,,,Schlussresultat
,,,,,,,
«Atomausstiegsinitiative»,,,,,,,
,"Stimmrechtsausweise",Stimmzettel,,,,Stimmen,
Wahllokale,,eingelegte,leere,ungültige,Total gültige,Ja,Nein
Bahnhof SBB,604,603,7,0,596,435,161
Rathaus,643,643,2,0,641,499,142
Polizeiwache Clara,245,245,3,0,242,196,46
Basel brieflich Stimmende,47999,47943,330,5,47608,29555,18053
Total Basel,49491,49434,342,5,49087,30685,18402
Riehen Gemeindehaus,149,149,2,0,147,86,61
Riehen brieflich Stimmende,7702,7685,41,0,7644,3858,3786
Total Riehen,7851,7834,43,0,7791,3944,3847
Bettingen Gemeindehaus,9,9,0,0,9,6,3
Bettingen brieflich Stimmende,461,461,1,0,460,186,274
Total Bettingen,470,470,1,0,469,192,277
Elektronisch Stimmende AS,1661,1661,11,0,1650,930,720
Brieflich Stimmende AS,1010,1010,9,1,1000,533,467
Total Auslandschweizer (AS),2671,2671,20,1,2650,1463,1187
Total Kanton,60483,60409,406,6,59997,36284,23713
