Kanton Basel-Stadt,,,,,,,
,,,,,,,
Kantonale Abstimmung vom 10. Februar 2019,,,,,,,Schlussresultat
,,,,,,,
(1) «Gesundheitsversorgung»,,,,,,,
,"Stimmrechts-
ausweise",Stimmzettel,,,,Stimmen,
Wahllokale,,eingelegte,leere,ungültige,Total gültige,Ja,Nein
Bahnhof SBB,744,742,30,0,712,551,161
Rathaus,1187,1184,51,1,1132,868,264
Polizeiwache Clara,472,472,21,1,450,329,121
Basel brieflich Stimmende,41360,41345,1192,19,40134,27023,13111
Total Basel,43763,43743,1294,21,42428,28771,13657
Riehen Gemeindehaus,210,210,7,0,203,151,52
Riehen brieflich Stimmende,6946,6944,177,0,6767,4308,2459
Total Riehen,7156,7154,184,0,6970,4459,2511
Bettingen Gemeindehaus,19,19,2,0,17,15,2
Bettingen brieflich Stimmende,463,450,16,1,433,294,139
Total Bettingen,482,469,18,1,450,309,141
Total Kanton,51401,51366,1496,22,49848,33539,16309
,,,,,,,
,,,,,,,
(2) «Universitätsspital Nordwest»,,,,,,,
,"Stimmrechts-
ausweise",Stimmzettel,,,,Stimmen,
Wahllokale,,eingelegte,leere,ungültige,Total gültige,Ja,Nein
Bahnhof SBB,744,742,48,0,694,298,396
Rathaus,1187,1184,71,1,1112,463,649
Polizeiwache Clara,472,472,23,0,449,142,307
Basel brieflich Stimmende,41360,41345,1298,19,40028,17640,22388
Total Basel,43763,43743,1440,20,42283,18543,23740
Riehen Gemeindehaus,210,210,11,0,199,97,102
Riehen brieflich Stimmende,6946,6944,181,1,6762,3011,3751
Total Riehen,7156,7154,192,1,6961,3108,3853
Bettingen Gemeindehaus,19,19,2,0,17,14,3
Bettingen brieflich Stimmende,463,450,15,1,434,225,209
Total Bettingen,482,469,17,1,451,239,212
Total Kanton,51401,51366,1649,22,49695,21890,27805
,,,,,,,
,,,,,,,
(3) «Steuervorlage 17»,,,,,,,
,"Stimmrechts-
ausweise",Stimmzettel,,,,Stimmen,
Wahllokale,,eingelegte,leere,ungültige,Total gültige,Ja,Nein
Bahnhof SBB,744,742,32,0,710,563,147
Rathaus,1187,1184,76,2,1106,886,220
Polizeiwache Clara,472,472,30,0,442,312,130
Basel brieflich Stimmende,41360,41345,1627,22,39696,31098,8598
Total Basel,43763,43743,1765,24,41954,32859,9095
Riehen Gemeindehaus,210,210,10,0,200,174,26
Riehen brieflich Stimmende,6946,6944,260,1,6683,5409,1274
Total Riehen,7156,7154,270,1,6883,5583,1300
Bettingen Gemeindehaus,19,19,3,0,16,16,0
Bettingen brieflich Stimmende,463,450,19,2,429,365,64
Total Bettingen,482,469,22,2,445,381,64
Total Kanton,51401,51366,2057,27,49282,38823,10459
,,,,,,,
,,,,,,,
(4) «St. Alban-Vorstadt»,,,,,,,
,"Stimmrechts-
ausweise",Stimmzettel,,,,Stimmen,
Wahllokale,,eingelegte,leere,ungültige,Total gültige,Ja,Nein
Bahnhof SBB,744,742,14,0,728,488,240
Rathaus,1187,1184,59,0,1125,705,420
Polizeiwache Clara,472,472,19,0,453,307,146
Basel brieflich Stimmende,41360,41345,1295,26,40024,21068,18956
Total Basel,43763,43743,1387,26,42330,22568,19762
Riehen Gemeindehaus,210,210,10,0,200,112,88
Riehen brieflich Stimmende,6946,6944,231,1,6712,2921,3791
Total Riehen,7156,7154,241,1,6912,3033,3879
Bettingen Gemeindehaus,19,19,3,0,16,9,7
Bettingen brieflich Stimmende,463,450,21,0,429,158,271
Total Bettingen,482,469,24,0,445,167,278
Total Kanton,51401,51366,1652,27,49687,25768,23919
