Kanton Basel-Stadt,,,,,,,
,,,,,,,
Kantonale Abstimmung vom 19. Mai 2019,,,,,,,
,,,,,,,
(1) «Topverdienersteuer»,,,,,,,
,"Stimmrechts-
ausweise",Stimmzettel,,,,Stimmen,
Wahllokale,,eingelegte,leere,ungültige,Total gültige,Ja,Nein
Bahnhof SBB,962,961,61,0,900,506,394
Rathaus,1393,1393,79,1,1313,780,533
Polizeiwache Clara,557,557,29,0,528,377,151
Basel brieflich Stimmende,47087,47018,1689,33,45296,24537,20759
Total Basel,49999,49929,1858,34,48037,26200,21837
Riehen Gemeindehaus,264,264,8,0,256,110,146
Riehen brieflich Stimmende,7790,7790,284,4,7502,3194,4308
Total Riehen,8054,8054,292,4,7758,3304,4454
Bettingen Gemeindehaus,10,10,1,0,9,0,9
Bettingen brieflich Stimmende,458,457,17,1,439,139,300
Total Bettingen,468,467,18,1,448,139,309
Total Kanton,58521,58450,2168,39,56243,29643,26600
,,,,,,,
,,,,,,,
(2) «Krankenkasseninitiative»,,,,,,,
,"Stimmrechts-
ausweise",Stimmzettel,,,,Stimmen,
Wahllokale,,eingelegte,leere,ungültige,Total gültige,Ja,Nein
Bahnhof SBB,962,961,53,1,907,362,545
Rathaus,1393,1393,75,0,1318,499,819
Polizeiwache Clara,557,557,34,2,521,204,317
Basel brieflich Stimmende,47087,47018,1431,27,45560,22734,22826
Total Basel,49999,49929,1593,30,48306,23799,24507
Riehen Gemeindehaus,264,264,5,0,259,122,137
Riehen brieflich Stimmende,7790,7790,215,2,7573,4113,3460
Total Riehen,8054,8054,220,2,7832,4235,3597
Bettingen Gemeindehaus,10,10,0,0,10,3,7
Bettingen brieflich Stimmende,458,457,13,1,443,213,230
Total Bettingen,468,467,13,1,453,216,237
Total Kanton,58521,58450,1826,33,56591,28250,28341
,,,,,,,
,,,,,,,
(3) «Ratschlag Ozeanium»,,,,,,,
,"Stimmrechts-
ausweise",Stimmzettel,,,,Stimmen,
Wahllokale,,eingelegte,leere,ungültige,Total gültige,Ja,Nein
Bahnhof SBB,962,961,42,0,919,380,539
Rathaus,1393,1393,54,0,1339,502,837
Polizeiwache Clara,557,557,27,0,530,191,339
Basel brieflich Stimmende,47087,47018,1138,30,45850,20745,25105
Total Basel,49999,49929,1261,30,48638,21818,26820
Riehen Gemeindehaus,264,264,10,0,254,141,113
Riehen brieflich Stimmende,7790,7790,169,2,7619,3679,3940
Total Riehen,8054,8054,179,2,7873,3820,4053
Bettingen Gemeindehaus,10,10,0,0,10,8,2
Bettingen brieflich Stimmende,458,457,6,0,451,242,209
Total Bettingen,468,467,6,0,461,250,211
Total Kanton,58521,58450,1446,32,56972,25888,31084
,,,,,,,
,,,,,,,
(4) «Steuergesetz»,,,,,,,
,"Stimmrechts-
ausweise",Stimmzettel,,,,Stimmen,
Wahllokale,,eingelegte,leere,ungültige,Total gültige,Ja,Nein
Bahnhof SBB,962,961,149,0,812,494,318
Rathaus,1393,1393,175,0,1218,682,536
Polizeiwache Clara,557,557,85,0,472,241,231
Basel brieflich Stimmende,47087,47018,3892,31,43095,25157,17938
Total Basel,49999,49929,4301,31,45597,26574,19023
Riehen Gemeindehaus,264,264,18,0,246,164,82
Riehen brieflich Stimmende,7790,7790,526,4,7260,4526,2734
Total Riehen,8054,8054,544,4,7506,4690,2816
Bettingen Gemeindehaus,10,10,0,0,10,9,1
Bettingen brieflich Stimmende,458,457,23,1,433,345,88
Total Bettingen,468,467,23,1,443,354,89
Total Kanton,58521,58450,4868,36,53546,31618,21928
,,,,,,,
,,,,,,,
(5) «Neubau NMB/Staatsarchiv»,,,,,,,
,"Stimmrechts-
ausweise",Stimmzettel,,,,Stimmen,
Wahllokale,,eingelegte,leere,ungültige,Total gültige,Ja,Nein
Bahnhof SBB,962,961,53,0,908,621,287
Rathaus,1393,1393,73,0,1320,970,350
Polizeiwache Clara,557,557,34,0,523,384,139
Basel brieflich Stimmende,47087,47018,1515,27,45476,27746,17730
Total Basel,49999,49929,1675,27,48227,29721,18506
Riehen Gemeindehaus,264,264,13,0,251,148,103
Riehen brieflich Stimmende,7790,7790,265,2,7523,3930,3593
Total Riehen,8054,8054,278,2,7774,4078,3696
Bettingen Gemeindehaus,10,10,0,0,10,7,3
Bettingen brieflich Stimmende,458,457,7,1,449,258,191
Total Bettingen,468,467,7,1,459,265,194
Total Kanton,58521,58450,1960,30,56460,34064,22396
