Kanton Basel-Stadt,,,,,,,
,,,,,,,
Eidgenössische Volksabstimmung vom 21. Mai 2017,,,,,,,Schlussresultat
,,,,,,,
«Energiegesetz»,,,,,,,
,"Stimmrechtsausweise",Stimmzettel,,,,Stimmen,
Wahllokale,,eingelegte,leere,ungültige,Total gültige,Ja,Nein
Bahnhof SBB,921,921,9,0,912,700,212
Rathaus,1115,1115,9,0,1106,917,189
Polizeiwache Clara,462,462,10,0,452,371,81
Basel brieflich Stimmende,43434,43351,710,11,42630,27187,15443
Total Basel,45932,45849,738,11,45100,29175,15925
Riehen Gemeindehaus,252,252,6,0,246,165,81
Riehen brieflich Stimmende,7201,7201,143,0,7058,3641,3417
Total Riehen,7453,7453,149,0,7304,3806,3498
Bettingen Gemeindehaus,12,12,1,0,11,10,1
Bettingen brieflich Stimmende,447,447,11,0,436,197,239
Total Bettingen,459,459,12,0,447,207,240
Elektronisch Stimmende AS,1492,1492,5,0,1487,1194,293
Brieflich Stimmende AS,824,824,6,1,817,613,204
Total Auslandschweizer (AS),2316,2316,11,1,2304,1807,497
Total Kanton,56160,56077,910,12,55155,34995,20160
