Kanton Basel-Stadt,,,,,,,
,,,,,,,
Kantonale Abstimmung vom 25. November 2018,,,,,,,Schlussresultat
,,,,,,,
(1) «VoltaNord»,,,,,,,
,"Stimmrechtsausweise",Stimmzettel,,,,Stimmen,
Wahllokale,,eingelegte,leere,ungültige,Total gültige,Ja,Nein
Bahnhof SBB,745,740,80,0,660,423,237
Rathaus,1075,1074,106,1,967,645,322
Polizeiwache Clara,417,416,39,0,377,253,124
Basel brieflich Stimmende,49975,49968,3339,17,46612,28837,17775
Total Basel,52212,52198,3564,18,48616,30158,18458
Riehen Gemeindehaus,255,255,29,0,226,133,93
Riehen brieflich Stimmende,7835,7830,515,4,7311,3952,3359
Total Riehen,8090,8085,544,4,7537,4085,3452
Bettingen Gemeindehaus,8,8,1,0,7,5,2
Bettingen brieflich Stimmende,457,457,34,1,422,234,188
Total Bettingen,465,465,35,1,429,239,190
Total Kanton,60767,60748,4143,23,56582,34482,22100
,,,,,,,
(2) «Gesetz über öffentliche Ruhetage und Ladenöffnung (RLG)»,,,,,,,
,"Stimmrechtsausweise",Stimmzettel,,,,Stimmen,
Wahllokale,,eingelegte,leere,ungültige,Total gültige,Ja,Nein
Bahnhof SBB,745,740,36,0,704,271,433
Rathaus,1075,1074,59,0,1015,350,665
Polizeiwache Clara,417,416,17,0,399,121,278
Basel brieflich Stimmende,49975,49968,1745,17,48206,19417,28789
Total Basel,52212,52198,1857,17,50324,20159,30165
Riehen Gemeindehaus,255,255,7,0,248,89,159
Riehen brieflich Stimmende,7835,7830,205,3,7622,3201,4421
Total Riehen,8090,8085,212,3,7870,3290,4580
Bettingen Gemeindehaus,8,8,1,0,7,2,5
Bettingen brieflich Stimmende,457,457,8,1,448,207,241
Total Bettingen,465,465,9,1,455,209,246
Total Kanton,60767,60748,2078,21,58649,23658,34991
