Kanton Basel-Stadt;;;;;;;
;;;;;;;
Kantonale Abstimmung vom 5. Juni 2016;;;;;;;Schlussresultat
;;;;;;;
(1) «Bankgesetz»;;;;;;;
;"Stimmrechts-
ausweise";Stimmzettel;;;;Stimmen;
Wahllokale;;eingelegte;leere;ungültige;Total gültige;Ja;Nein
Bahnhof SBB;1'303;1'301;213;1;1'087;797;290
Rathaus;1'502;1'500;272;0;1'228;914;314
Polizeiwache Clara;568;568;116;0;452;308;144
Basel brieflich Stimmende;44'861;44'848;4'286;19;40'543;30'337;10'206
Total Basel;48'234;48'217;4'887;20;43'310;32'356;10'954
Riehen Gemeindehaus;311;310;45;0;265;206;59
Riehen brieflich Stimmende;7'116;7'102;578;1;6'523;5'107;1'416
Total Riehen;7'427;7'412;623;1;6'788;5'313;1'475
Bettingen Gemeindehaus;19;19;2;0;17;13;4
Bettingen brieflich Stimmende;424;424;23;0;401;330;71
Total Bettingen;443;443;25;0;418;343;75
Total Kanton;56'104;56'072;5'535;21;50'516;38'012;12'504
;;;;;;;
(2) «Neubau Amt für Umwelt und Energie (AUE)»;;;;;;;
;"Stimmrechts-
ausweise";Stimmzettel;;;;Stimmen;
Wahllokale;;eingelegte;leere;ungültige;Total gültige;Ja;Nein
Bahnhof SBB;1'303;1'301;149;0;1'152;740;412
Rathaus;1'502;1'500;179;1;1'320;832;488
Polizeiwache Clara;568;568;69;0;499;324;175
Basel brieflich Stimmende;44'861;44'848;2'977;14;41'857;21'636;20'221
Total Basel;48'234;48'217;3'374;15;44'828;23'532;21'296
Riehen Gemeindehaus;311;310;28;0;282;141;141
Riehen brieflich Stimmende;7'116;7'102;378;2;6'722;2'846;3'876
Total Riehen;7'427;7'412;406;2;7'004;2'987;4'017
Bettingen Gemeindehaus;19;19;1;0;18;9;9
Bettingen brieflich Stimmende;424;424;19;0;405;158;247
Total Bettingen;443;443;20;0;423;167;256
Total Kanton;56'104;56'072;3'800;17;52'255;26'686;25'569
;;;;;;;
(3) «Änderung des Organisationsgesetzes der Basler Verkehrs-Betriebe»;;;;;;;
;"Stimmrechts-
ausweise";Stimmzettel;;;;Stimmen;
Wahllokale;;eingelegte;leere;ungültige;Total gültige;Ja;Nein
Bahnhof SBB;1'303;1'301;239;1;1'061;595;466
Rathaus;1'502;1'500;270;0;1'230;668;562
Polizeiwache Clara;568;568;111;0;457;227;230
Basel brieflich Stimmende;44'861;44'848;4'237;17;40'594;23'965;16'629
Total Basel;48'234;48'217;4'857;18;43'342;25'455;17'887
Riehen Gemeindehaus;311;310;39;0;271;173;98
Riehen brieflich Stimmende;7'116;7'102;544;1;6'557;3'965;2'592
Total Riehen;7'427;7'412;583;1;6'828;4'138;2'690
Bettingen Gemeindehaus;19;19;3;0;16;13;3
Bettingen brieflich Stimmende;424;424;26;0;398;266;132
Total Bettingen;443;443;29;0;414;279;135
Total Kanton;56'104;56'072;5'469;19;50'584;29'872;20'712
