Kanton Basel-Stadt,,,,,,,
,,,,,,,
Kantonale Abstimmung vom 28. Februar 2016,,,,,,,Schlussresultat
,,,,,,,
(1) «Parlamentarisches Instrumentarium»,,,,,,,
,"Stimmrechtsausweise",Stimmzettel,,,,Stimmen,
Wahllokale,,eingelegte,leere,ungültige,Total gültige,Ja,Nein
Bahnhof SBB,1'166,1'164,307,0,857,620,237
Rathaus,1'212,1'212,324,0,888,619,269
Polizeiwache Clara,521,521,148,0,373,240,133
Basel brieflich Stimmende,59'832,59'826,10'593,15,49'218,32'574,16'644
Total Basel,62'731,62'723,11'372,15,51'336,34'053,17'283
Riehen Gemeindehaus,275,275,58,2,215,154,61
Riehen brieflich Stimmende,9'214,9'195,1'430,5,7'760,5'343,2'417
Total Riehen,9'489,9'470,1'488,7,7'975,5'497,2'478
Bettingen Gemeindehaus,18,18,6,0,12,9,3
Bettingen brieflich Stimmende,533,533,51,0,482,324,158
Total Bettingen,551,551,57,0,494,333,161
Total Kanton,72'771,72'744,12'917,22,59'805,39'883,19'922
,,,,,,,
(2) «Neue Bodeninitiative»,,,,,,,
,"Stimmrechtsausweise",Stimmzettel,,,,Stimmen,
Wahllokale,,eingelegte,leere,ungültige,Total gültige,Ja,Nein
Bahnhof SBB,1'166,1'164,166,0,998,708,290
Rathaus,1'212,1'212,181,0,1'031,740,291
Polizeiwache Clara,521,521,76,0,445,326,119
Basel brieflich Stimmende,59'832,59'826,5'805,11,54'010,36'883,17'127
Total Basel,62'731,62'723,6'228,11,56'484,38'657,17'827
Riehen Gemeindehaus,275,275,30,2,243,154,89
Riehen brieflich Stimmende,9'214,9'195,772,6,8'417,4'877,3'540
Total Riehen,9'489,9'470,802,8,8'660,5'031,3'629
Bettingen Gemeindehaus,18,18,2,0,16,9,7
Bettingen brieflich Stimmende,533,533,33,0,500,215,285
Total Bettingen,551,551,35,0,516,224,292
Total Kanton,72'771,72'744,7'065,19,65'660,43'912,21'748
,,,,,,,
(3) «Wahlpflichtfächer»,,,,,,,
,"Stimmrechtsausweise",Stimmzettel,,,,Stimmen,
Wahllokale,,eingelegte,leere,ungültige,Total gültige,Ja,Nein
Bahnhof SBB,1'166,1'164,158,0,1'006,681,325
Rathaus,1'212,1'212,158,0,1'054,750,304
Polizeiwache Clara,521,521,77,0,444,322,122
Basel brieflich Stimmende,59'832,59'826,6'538,7,53'281,34'509,18'772
Total Basel,62'731,62'723,6'931,7,55'785,36'262,19'523
Riehen Gemeindehaus,275,275,30,1,244,163,81
Riehen brieflich Stimmende,9'214,9'195,953,5,8'237,4'928,3'309
Total Riehen,9'489,9'470,983,6,8'481,5'091,3'390
Bettingen Gemeindehaus,18,18,2,0,16,9,7
Bettingen brieflich Stimmende,533,533,37,0,496,261,235
Total Bettingen,551,551,39,0,512,270,242
Total Kanton,72'771,72'744,7'953,13,64'778,41'623,23'155
,,,,,,,
,"
Stimmberechtigte",davon Männer,davon Frauen,,,,
Basel-Ost,30'364,13'716,16'648,,,,
Basel-West,36'997,16'419,20'578,,,,
Kleinbasel,25'179,11'906,13'273,,,,
Basel,92'540,42'041,50'499,,,,
Riehen,13'133,5'863,7'270,,,,
Bettingen,739,341,398,,,,
Total Kanton,106'412,48'245,58'167,,,,
,,,,,,,
Stimmbeteiligung:,68.36%,,,,,,
