Kanton Basel-Stadt,,,,,,,
,,,,,,,
Eidgenössische Volksabstimmung vom 10. Februar 2019,,,,,,,Schlussresultat
,,,,,,,
«Zersiedelungsinitiative»,,,,,,,
,Stimmrechtsausweise,Stimmzettel,,,,Stimmen,
Wahllokale,,eingelegte,leere,ungültige,Total gültige,Ja,Nein
Bahnhof SBB,744,743,17,0,726,413,313
Rathaus,1187,1187,42,1,1144,652,492
Polizeiwache Clara,472,472,18,0,454,282,172
Basel brieflich Stimmende,41360,41345,1047,19,40279,19086,21193
Total Basel,43763,43747,1124,20,42603,20433,22170
Riehen Gemeindehaus,210,210,4,0,206,90,116
Riehen brieflich Stimmende,6946,6944,146,0,6798,2639,4159
Total Riehen,7156,7154,150,0,7004,2729,4275
Bettingen Gemeindehaus,19,19,1,0,18,7,11
Bettingen brieflich Stimmende,463,450,12,1,437,142,295
Total Bettingen,482,469,13,1,455,149,306
Elektronisch Stimmende AS,1465,1465,8,0,1457,651,806
Brieflich Stimmende AS,713,711,7,1,703,332,371
Total Auslandschweizer (AS),2178,2176,15,1,2160,983,1177
Total Kanton,53579,53546,1302,22,52222,24294,27928
