Kanton Basel-Stadt,,,,,,,
,,,,,,,
Eidgenössische Volksabstimmung vom 14. Juni 2015,,,,,,,Schlussresultat
,,,,,,,
(1) «Fortpflanzungsmedizin und Gentechnologie»,,,,,,,
,"Stimmrechtsausweise",Stimmzettel,,,,Stimmen,
Wahllokale,,eingelegte,leere,ungültige,Total gültige,Ja,Nein
Bahnhof SBB,791,791,43,0,748,456,292
Rathaus,850,850,43,0,807,503,304
Polizeiwache Clara,337,337,25,0,312,168,144
Basel brieflich Stimmende,43496,43467,2169,16,41282,25726,15556
Total Basel,45474,45445,2280,16,43149,26853,16296
Riehen Gemeindehaus,242,242,14,0,228,139,89
Riehen brieflich Stimmende,7684,7654,348,2,7304,4465,2839
Total Riehen,7926,7896,362,2,7532,4604,2928
Bettingen Gemeindehaus,4,4,0,0,4,2,2
Bettingen brieflich Stimmende,446,446,9,0,437,262,175
Total Bettingen,450,450,9,0,441,264,177
Elektronisch Stimmende AS,1328,1328,26,0,1302,1028,274
Brieflich Stimmende AS,891,890,38,0,852,618,234
Total Auslandschweizer (AS),2219,2218,64,0,2154,1646,508
Total Kanton,56069,56009,2715,18,53276,33367,19909
,,,,,,,
,,,,,,,
(2) «Stipendieninitiative»,,,,,,,
,"Stimmrechtsausweise",Stimmzettel,,,,Stimmen,
Wahllokale,,eingelegte,leere,ungültige,Total gültige,Ja,Nein
Bahnhof SBB,791,791,56,0,735,323,412
Rathaus,850,850,57,0,793,375,418
Polizeiwache Clara,337,337,26,0,311,155,156
Basel brieflich Stimmende,43496,43467,2217,16,41234,14371,26863
Total Basel,45474,45445,2356,16,43073,15224,27849
Riehen Gemeindehaus,242,242,16,0,226,74,152
Riehen brieflich Stimmende,7684,7654,413,3,7238,1893,5345
Total Riehen,7926,7896,429,3,7464,1967,5497
Bettingen Gemeindehaus,4,4,0,0,4,0,4
Bettingen brieflich Stimmende,446,446,16,0,430,87,343
Total Bettingen,450,450,16,0,434,87,347
Elektronisch Stimmende AS,1328,1328,30,0,1298,468,830
Brieflich Stimmende AS,891,890,29,0,861,288,573
Total Auslandschweizer (AS),2219,2218,59,0,2159,756,1403
Total Kanton,56069,56009,2860,19,53130,18034,35096
,,,,,,,
,,,,,,,
(3) «Erbschaftssteuerreform»,,,,,,,
,"Stimmrechtsausweise",Stimmzettel,,,,Stimmen,
Wahllokale,,eingelegte,leere,ungültige,Total gültige,Ja,Nein
Bahnhof SBB,791,791,26,1,764,397,367
Rathaus,850,850,37,0,813,446,367
Polizeiwache Clara,337,337,11,0,326,194,132
Basel brieflich Stimmende,43496,43467,903,12,42552,18136,24416
Total Basel,45474,45445,977,13,44455,19173,25282
Riehen Gemeindehaus,242,242,10,0,232,85,147
Riehen brieflich Stimmende,7684,7654,149,2,7503,2409,5094
Total Riehen,7926,7896,159,2,7735,2494,5241
Bettingen Gemeindehaus,4,4,0,0,4,1,3
Bettingen brieflich Stimmende,446,446,7,0,439,106,333
Total Bettingen,450,450,7,0,443,107,336
Elektronisch Stimmende AS,1328,1328,22,0,1306,531,775
Brieflich Stimmende AS,891,890,14,0,876,341,535
Total Auslandschweizer (AS),2219,2218,36,0,2182,872,1310
Total Kanton,56069,56009,1179,15,54815,22646,32169
,,,,,,,
,,,,,,,
(4) «Radio- und Fernsehgesetz»,,,,,,,
,"Stimmrechtsausweise",Stimmzettel,,,,Stimmen,
Wahllokale,,eingelegte,leere,ungültige,Total gültige,Ja,Nein
Bahnhof SBB,791,791,48,0,743,430,313
Rathaus,850,850,40,0,810,499,311
Polizeiwache Clara,337,337,16,0,321,175,146
Basel brieflich Stimmende,43496,43467,1331,16,42120,21515,20605
Total Basel,45474,45445,1435,16,43994,22619,21375
Riehen Gemeindehaus,242,242,16,0,226,111,115
Riehen brieflich Stimmende,7684,7654,268,2,7384,3410,3974
Total Riehen,7926,7896,284,2,7610,3521,4089
Bettingen Gemeindehaus,4,4,0,0,4,2,2
Bettingen brieflich Stimmende,446,446,11,0,435,200,235
Total Bettingen,450,450,11,0,439,202,237
Elektronisch Stimmende AS,1328,1328,44,0,1284,839,445
Brieflich Stimmende AS,891,890,42,0,848,552,296
Total Auslandschweizer (AS),2219,2218,86,0,2132,1391,741
Total Kanton,56069,56009,1816,18,54175,27733,26442
