Total Riehen,7'427,7'413,285,5,7'123,4'382,2'741
Bettingen Gemeindehaus,19,19,2,0,17,10,7
Bettingen brieflich Stimmende,424,424,6,0,418,237,181
Total Bettingen,443,443,8,0,435,247,188
Elektronisch Stimmende AS,1'677,1'677,57,0,1'620,1'172,448
Brieflich Stimmende AS,966,964,41,2,921,591,330
Total Auslandschweizer (AS),2'643,2'641,98,2,2'541,1'763,778
Total Kanton,58'747,58'717,2'906,25,55'786,33'734,22'052
,,,,,,,
(5) «Asylgesetz»,,,,,,,
,"Stimmrechtsausweise",Stimmzettel,,,,Stimmen,
Wahllokale,,eingelegte,leere,ungültige,Total gültige,Ja,Nein
Bahnhof SBB,1'303,1'302,55,0,1'247,1'021,226
Rathaus,1'502,1'502,63,0,1'439,1'214,225
Polizeiwache Clara,568,568,31,0,537,452,85
Basel brieflich Stimmende,44'861,44'848,1'317,16,43'515,32'014,11'501
Total Basel,48'234,48'220,1'466,16,46'738,34'701,12'037
Riehen Gemeindehaus,311,311,11,0,300,226,74
Riehen brieflich Stimmende,7'116,7'102,203,0,6'899,4'874,2'025
Total Riehen,7'427,7'413,214,0,7'199,5'100,2'099
Bettingen Gemeindehaus,19,19,1,0,18,14,4
Bettingen brieflich Stimmende,424,424,9,0,415,302,113
Total Bettingen,443,443,10,0,433,316,117
Elektronisch Stimmende AS,1'677,1'677,29,0,1'648,1'366,282
Brieflich Stimmende AS,966,964,14,1,949,738,211
Total Auslandschweizer (AS),2'643,2'641,43,1,2'597,2'104,493
Total Kanton,58'747,58'717,1'733,17,56'967,42'221,14'746
