Kanton Basel-Stadt,,,,,,,
,,,,,,,
Eidgenössische Volksabstimmung vom 25. November 2018,,,,,,,Schlussresultat
,,,,,,,
(1) «Hornkuh-Initiative»,,,,,,,
,"Stimmrechtsausweise",Stimmzettel,,,,Stimmen,
Wahllokale,,eingelegte,leere,ungültige,Total gültige,Ja,Nein
Bahnhof SBB,745,743,48,0,695,422,273
Rathaus,1075,1075,84,1,990,615,375
Polizeiwache Clara,417,417,35,0,382,258,124
Basel brieflich Stimmende,49975,49968,2202,23,47743,27568,20175
Total Basel,52212,52203,2369,24,49810,28863,20947
Riehen Gemeindehaus,255,255,15,0,240,119,121
Riehen brieflich Stimmende,7835,7830,248,3,7579,4061,3518
Total Riehen,8090,8085,263,3,7819,4180,3639
Bettingen Gemeindehaus,8,8,1,0,7,3,4
Bettingen brieflich Stimmende,457,457,8,0,449,192,257
Total Bettingen,465,465,9,0,456,195,261
Elektronisch Stimmende AS,1845,1845,64,0,1781,821,960
Brieflich Stimmende AS,1031,1028,28,0,1000,525,475
Total Auslandschweizer (AS),2876,2873,92,0,2781,1346,1435
Total Kanton,63643,63626,2733,27,60866,34584,26282
,,,,,,,
(2) «Selbstbestimmungsinitiative»,,,,,,,
,"Stimmrechtsausweise",Stimmzettel,,,,Stimmen,
Wahllokale,,eingelegte,leere,ungültige,Total gültige,Ja,Nein
Bahnhof SBB,745,743,10,0,733,145,588
Rathaus,1075,1075,10,0,1065,180,885
Polizeiwache Clara,417,417,3,0,414,68,346
Basel brieflich Stimmende,49975,49968,715,18,49235,13232,36003
Total Basel,52212,52203,738,18,51447,13625,37822
Riehen Gemeindehaus,255,255,2,0,253,64,189
Riehen brieflich Stimmende,7835,7830,103,4,7723,2715,5008
Total Riehen,8090,8085,105,4,7976,2779,5197
Bettingen Gemeindehaus,8,8,0,0,8,2,6
Bettingen brieflich Stimmende,457,457,9,0,448,150,298
Total Bettingen,465,465,9,0,456,152,304
Elektronisch Stimmende AS,1845,1845,13,0,1832,388,1444
Brieflich Stimmende AS,1031,1028,17,0,1011,293,718
Total Auslandschweizer (AS),2876,2873,30,0,2843,681,2162
Total Kanton,63643,63626,882,22,62722,17237,45485
,,,,,,,
(3) «Sozialversicherungsrecht»,,,,,,,
,"Stimmrechtsausweise",Stimmzettel,,,,Stimmen,
Wahllokale,,eingelegte,leere,ungültige,Total gültige,Ja,Nein
Bahnhof SBB,745,743,21,0,722,267,455
Rathaus,1075,1075,39,0,1036,345,691
Polizeiwache Clara,417,417,17,0,400,119,281
Basel brieflich Stimmende,49975,49968,1069,23,48876,24505,24371
Total Basel,52212,52203,1146,23,51034,25236,25798
Riehen Gemeindehaus,255,255,11,0,244,137,107
Riehen brieflich Stimmende,7835,7830,147,4,7679,5018,2661
Total Riehen,8090,8085,158,4,7923,5155,2768
Bettingen Gemeindehaus,8,8,0,0,8,6,2
Bettingen brieflich Stimmende,457,457,8,0,449,314,135
Total Bettingen,465,465,8,0,457,320,137
Elektronisch Stimmende AS,1845,1845,32,0,1813,1044,769
Brieflich Stimmende AS,1031,1028,21,0,1007,601,406
Total Auslandschweizer (AS),2876,2873,53,0,2820,1645,1175
Total Kanton,63643,63626,1365,27,62234,32356,29878
