Kanton Basel-Stadt,,,,,,,
,,,,,,,
Kantonale Volksabstimmung vom 12. Februar 2017,,,,,,,Schlussresultat
,,,,,,,
(1) «Aufhebung des Quorums (Sperrklausel)»,,,,,,,
,"Stimmrechtsausweise",Stimmzettel,,,,Stimmen,
Wahllokale,,eingelegte,leere,ungültige,Total gültige,Ja,Nein
Bahnhof SBB,988,988,136,0,852,591,261
Rathaus,1'074,1'074,159,0,915,635,280
Polizeiwache Clara,420,419,62,0,357,238,119
Basel brieflich Stimmende,45'704,45'669,4'436,10,41'223,23'549,17'674
Total Basel,48'186,48'150,4'793,10,43'347,25'013,18'334
Riehen Gemeindehaus,225,225,14,0,211,129,82
Riehen brieflich Stimmende,7'227,7'224,571,0,6'653,3'448,3'205
Total Riehen,7'452,7'449,585,0,6'864,3'577,3'287
Bettingen Gemeindehaus,7,7,1,0,6,0,6
Bettingen brieflich Stimmende,452,452,29,0,423,209,214
Total Bettingen,459,459,30,0,429,209,220
Total Kanton,56'097,56'058,5'408,10,50'640,28'799,21'841
,,,,,,,
(2) «Kasernenhauptbau: Sanierung und Umbau»,,,,,,,
,"Stimmrechtsausweise",Stimmzettel,,,,Stimmen,
Wahllokale,,eingelegte,leere,ungültige,Total gültige,Ja,Nein
Bahnhof SBB,988,988,32,0,956,732,224
Rathaus,1'074,1'074,44,0,1'030,831,199
Polizeiwache Clara,420,419,18,0,401,301,100
Basel brieflich Stimmende,45'704,45'669,1'270,15,44'384,27'720,16'664
Total Basel,48'186,48'150,1'364,15,46'771,29'584,17'187
Riehen Gemeindehaus,225,225,7,0,218,124,94
Riehen brieflich Stimmende,7'227,7'224,186,1,7'037,3'706,3'331
Total Riehen,7'452,7'449,193,1,7'255,3'830,3'425
Bettingen Gemeindehaus,7,7,0,0,7,6,1
Bettingen brieflich Stimmende,452,452,15,0,437,214,223
Total Bettingen,459,459,15,0,444,220,224
Total Kanton,56'097,56'058,1'572,16,54'470,33'634,20'836
