Kanton Basel-Stadt,,,,,,,
,,,,,,,
Kantonale Abstimmung vom 4. März 2018,,,,,,,Schlussresultat
,,,,,,,
(1) «Nachhaltige und faire Ernährung»,,,,,,,
,"Stimmrechtsausweise",Stimmzettel,,,,Stimmen,
Wahllokale,,eingelegte,leere,ungültige,Total gültige,Ja,Nein
Bahnhof SBB,858,857,64,0,793,282,511
Rathaus,1208,1208,83,1,1124,490,634
Polizeiwache Clara,457,457,40,0,417,185,232
Basel brieflich Stimmende,52312,52299,2599,11,49689,16948,32741
Total Basel,54835,54821,2786,12,52023,17905,34118
Riehen Gemeindehaus,210,210,11,0,199,60,139
Riehen brieflich Stimmende,8287,8282,333,2,7947,1902,6045
Total Riehen,8497,8492,344,2,8146,1962,6184
Bettingen Gemeindehaus,14,14,0,0,14,3,11
Bettingen brieflich Stimmende,467,467,13,0,454,78,376
Total Bettingen,481,481,13,0,468,81,387
Total Kanton,63813,63794,3143,14,60637,19948,40689
,,,,,,,
,,,,,,,
(2) «Keine goldenen Fallschirme mit Steuergeldern»,,,,,,,
,"Stimmrechtsausweise",Stimmzettel,,,,Stimmen,
Wahllokale,,eingelegte,leere,ungültige,Total gültige,Ja,Nein
Bahnhof SBB,858,857,87,0,770,459,311
Rathaus,1208,1208,122,1,1085,644,441
Polizeiwache Clara,457,457,62,0,395,240,155
Basel brieflich Stimmende,52312,52299,3426,9,48864,29950,18914
Total Basel,54835,54821,3697,10,51114,31293,19821
Riehen Gemeindehaus,210,210,17,0,193,127,66
Riehen brieflich Stimmende,8287,8282,409,5,7868,5217,2651
Total Riehen,8497,8492,426,5,8061,5344,2717
Bettingen Gemeindehaus,14,14,0,0,14,7,7
Bettingen brieflich Stimmende,467,467,23,0,444,286,158
Total Bettingen,481,481,23,0,458,293,165
Total Kanton,63813,63794,4146,15,59633,36930,22703
